Link Channel,ID Channel,Waktu,Link video,Komentar,Like,dot 2
https://www.youtube.com/@andresputra8764,@andresputra8764,4 bulan yang lalu,https://www.youtube.com/watch?v=7Fl1uncm4Ik&lc=Ugxv7al3yPEbIiTHcul4AaABAg,Ada ivanna di pabrik gula,2.0,
https://www.youtube.com/@bajaklauthitam,@bajaklauthitam,4 bulan yang lalu,https://www.youtube.com/watch?v=7Fl1uncm4Ik&lc=UgxdoZ2DdXcYTKfz01F4AaABAg,Film ini membuktikan Indonesia lebih suka spend duit buat ritual dan dukun daripada hire tim ahli K3 di pabrik,534.0,
https://www.youtube.com/@nar5700,@nar5700,4 bulan yang lalu,https://www.youtube.com/watch?v=7Fl1uncm4Ik&lc=UgwsGJcdwC0AECKQ6kN4AaABAg,Pabrik Gula jero ne iki luwih medeni lan rak iso di critakno,1.0,
https://www.youtube.com/@kuejahe_,@kuejahe_,4 bulan yang lalu,https://www.youtube.com/watch?v=7Fl1uncm4Ik&lc=UgzyHAaBvdSrGxkyF5Z4AaABAg,gue udah duga dari pertama kali ini film mau rilis dan alhamdulillah ga masuk ke list gue,2.0,
https://www.youtube.com/@malvina696,@malvina696,4 bulan yang lalu,https://www.youtube.com/watch?v=7Fl1uncm4Ik&lc=UgxemSwlTeJ2GJYtz6R4AaABAg,ntn yg 4DX kurengg yeh,1.0,
https://www.youtube.com/@gilarholic,@gilarholic,4 bulan yang lalu,https://www.youtube.com/watch?v=7Fl1uncm4Ik&lc=Ugz5fSIveNLwzm7Os_V4AaABAg,"Ini film ada islam2nya, tapi ko malah minta bantuan ke dukun, pdhal kalo mau klenik2 aja sekalian, dan ada bbrp scene yg terinspirasi dari film horror western. Tp all in lumayan ada mata saringan, bisa teleportasi emg canggih itu setan nya.",3.0,
https://www.youtube.com/@indrabomm,@indrabomm,4 bulan yang lalu,https://www.youtube.com/watch?v=7Fl1uncm4Ik&lc=UgzfcHaZbYrijSNiKJV4AaABAg,"Gw yg abis nntn ini langsung mikir, ini film baru apa film lama kkn wkwk , mana yg lucu malah comedynya doang, alur sma horrornya huff bgt, terlalu overreted, film yg kebanyakan di iklanin di tv sma influen, qodrat tertawa lihat ini",4.0,
https://www.youtube.com/@anggorojoko3247,@anggorojoko3247,4 bulan yang lalu,https://www.youtube.com/watch?v=7Fl1uncm4Ik&lc=UgwXRvg80UJP44EbPhZ4AaABAg,"Bakal lebih bagus kalau judulnya pabrik lapindo, terus dikaitkan sama pabrik Lapindo nutupin kalau dalang lumpur lapindo . Trlalu dark gak sih?",1.0,
https://www.youtube.com/@NabnabGarten-id2yv,@NabnabGarten-id2yv,4 bulan yang lalu,https://www.youtube.com/watch?v=7Fl1uncm4Ik&lc=UgxDcYO6OqUTkpcbQJV4AaABAg&pp=0gcJCSMANpG00pGi,"Cuma pake embel-embel berdasarkan kisah nyata, tapi eksekusi film nya kurang & bikin jenuh",3.0,
https://www.youtube.com/@tandrylimmardy5131,@tandrylimmardy5131,4 bulan yang lalu,https://www.youtube.com/watch?v=7Fl1uncm4Ik&lc=UgwTFm3mLEVJNN3INBt4AaABAg,"Yg bagus di film ini
Ceweknya cakep",,
https://www.youtube.com/@soupwin9524,@soupwin9524,4 bulan yang lalu (diedit),https://www.youtube.com/watch?v=7Fl1uncm4Ik&lc=Ugyrq8ChZlDBqlQhYs14AaABAg,"Setuju sama bang Arya sama Anti, ini emang mirip bgt KKN, tapi overall lebih upgrade bgt, dari segi teknis, horror juga, kalo mengesampingkan komedinya, horrornya juga masih okeh, beberapa scene lumayan bikin takut, cuma emang gongnya di komedi sih ini, oh iya gue paling suka pas bagian endingnya, yang pengantin itu, entah gue pernah liat di film apa, tapi ini tuh masuk banget, emang harus gitu endingnya, yang jahat ya dapet balesan juga. Overall pabrik gula gak spesial tapi jauh lebih oke dari KKN.",43.0,·
https://www.youtube.com/@kohlergun,@kohlergun,4 bulan yang lalu,https://www.youtube.com/watch?v=7Fl1uncm4Ik&lc=Ugwr8VPtEeUZzCYuPEl4AaABAg,Film yg absurd,1.0,
https://www.youtube.com/@muhreza48,@muhreza48,4 bulan yang lalu,https://www.youtube.com/watch?v=7Fl1uncm4Ik&lc=UgzNHftSwX58gQZtX854AaABAg,"salah scriptwriternya yg plek ketiplek ambil dari threadnya wkwk, ga ada perkembangan bgt",2.0,
https://www.youtube.com/@gvxx_,@gvxx_,4 bulan yang lalu,https://www.youtube.com/watch?v=7Fl1uncm4Ik&lc=UgxezVY7tvbfjshoImx4AaABAg,: Bener sih,2.0,
https://www.youtube.com/@TegarIrsyad,@TegarIrsyad,4 bulan yang lalu,https://www.youtube.com/watch?v=7Fl1uncm4Ik&lc=UgxshbWMz6cr_Nv-V3h4AaABAg,Lebaran ini dihiasi oleh peperangan 2 pabrik. Pabrik Gula vs Pabrik Benang,75.0,
